Location,Site Name,Site Description,Latitude and Longitude(Deg Min Sec),Latitude and Longitude(Decimal),Link to site location,Picture Location,Copyright
A World Bridge,A World Bridge Headquarters,"Real-time, Real-world Project Based Learning","N40 59 39.3,     W74 16 44.6838","40.994250, -74.279079",www.aworldbridge.com,USA1.png,TrilliumLearning
"Alaska, USA","Kodiak, Alaska",A World Bridge Project Site: Kodiak Island Borough School District,"N 57 47 36.0636,    W 152 23 40.4736","57.793351, -152.394576",http://aworldbridge.com/global-school-network/usa/alaska/kodiak-island-borough-schoo/kodiak-high-school/,USA2.jpeg,TrilliumLearning
"Alaska, USA","Akiachak, Alaska",A World Bridge Project Site: Yupiit School District,"N 60 54 31.0422,     W 161 25 55.473","60.908623, -161.432076",http://aworldbridge.com/,USA1.png,TrilliumLearning
"Alaska, USA","Akiak, Alaska",A World Bridge Project Site: Yupiit School District,"N 60 54 32.5434,      W 161 13 22.7712","60.90904, -161.222992",http://aworldbridge.com/,USA1.png,TrilliumLearning
"Alaska, USA","Tuluksak, Alaska",A World Bridge Project Site: Yupiit School District,"N 61 5 53.9412,       W 160 57 34.1712","61.098317, -160.959492",http://aworldbridge.com/,USA1.png,TrilliumLearning
"Alaska, USA","Copper River, Alaska",A World Bridge Project Site: Copper River School District,"N 62 6 46.731,         W  145 31 35.8284","62.112981, -145.526619",http://aworldbridge.com/global-school-network/usa/alaska/copper-river-school-distric/,USA3.jpeg,TrilliumLearning
"Alaska, USA","Ketchikan, Alaska",A World Bridge Project Site: Ketchikan Gateway Borough School District,"N 55 21 12.4266,     W 131 40 40.5222","55.353452, -131.677923",http://aworldbridge.com/global-school-network/usa/alaska/ketchikan-gateway-borough/america-bridge-projects/,USA1.png,TrilliumLearning
"New York, USA","Middletown, New York",A World Bridge Project Site: Fei Tian Academy of the Arts,"N 41 27 7.3506,        W 74 26 18.4812","41.452042, -74.438467",http://aworldbridge.com/global-school-network/usa/new-york-2/fei-tian-academy-of-the.html,USA4.jpeg,TrilliumLearning
USA,Cahokia Mounds State Historic Site (1982),"Located in Collinsville, Illinois near the city of St. Louis, this largest pre-Columbian settlement north of Mexico is the pre-eminent example of a cultural, religious, and economic centre of the Mississippian culture (800–1350), which extended throughout the Mississippi Valley and the south-eastern United States. ","N38 39 31,          W90 3 41","38.658611,    -90.061389",http://whc.unesco.org/en/list/198,USA5.jpg,Cahokia Mounds State Historic Site © Emily Dickinson
USA,Chaco Culture (1987),"Chaco Culture is a network of archaeological sites in northwestern New Mexico which preserves outstanding elements of a vast pre-Columbian cultural complex that dominated much of what is now the southwestern United States from the mid-9th to early 13th centuries. These sites were a focus for ceremonies, trade, and political activity and they are remarkable for their monumental public and ceremonial buildings and distinctive multi-storey “great houses.”","N36 3 49.6,           W107 58 15","36.063778, -107.970833 ",http://whc.unesco.org/en/list/353/,USA6.jpg,Chaco Culture (United States of America). retouched/Q.C. CWL8200 Scanner © Sacred sites
