Location,Site Name,Site Description,Latitude and Longitude(Deg Min Sec),Latitude and Longitude(Decimal),Link to site location,Picture Location,Copyright
A World Bridge,A World Bridge Headquarters,"Real-time, Real-world Project Based Learning","N40 59 39.3, &dagger; &dagger; W74 16 44.6838","40.994250, -74.279079",www.aworldbridge.com,USA1.png,TrilliumLearning
"Alaska, USA","Kodiak, Alaska",A World Bridge Project Site: Kodiak Island Borough School District,"N 57 47 36.0636, &dagger; &dagger;W 152 23 40.4736","57.793351, -152.394576",http://aworldbridge.com/global-school-network/usa/alaska/kodiak-island-borough-schoo/kodiak-high-school/,USA2.jpeg,TrilliumLearning
"Alaska, USA","Akiachak, Alaska",A World Bridge Project Site: Yupiit School District,"N 60 54 31.0422, &dagger; &dagger; W 161 25 55.473","60.908623, -161.432076",http://aworldbridge.com/,USA1.png,TrilliumLearning
"Alaska, USA","Akiak, Alaska",A World Bridge Project Site: Yupiit School District,"N 60 54 32.5434, &dagger; &dagger; &dagger;W 161 13 22.7712","60.90904, -161.222992",http://aworldbridge.com/,USA1.png,TrilliumLearning
"Alaska, USA","Tuluksak, Alaska",A World Bridge Project Site: Yupiit School District,"N 61 5 53.9412, &dagger; &dagger; &dagger; W 160 57 34.1712","61.098317, -160.959492",http://aworldbridge.com/,USA1.png,TrilliumLearning
"Alaska, USA","Copper River, Alaska",A World Bridge Project Site: Copper River School District,"N 62 6 46.731, &dagger; &dagger; &dagger; &dagger; W &dagger;145 31 35.8284","62.112981, -145.526619",http://aworldbridge.com/global-school-network/usa/alaska/copper-river-school-distric/,USA3.jpeg,TrilliumLearning
"Alaska, USA","Ketchikan, Alaska",A World Bridge Project Site: Ketchikan Gateway Borough School District,"N 55 21 12.4266, &dagger; &dagger; W 131 40 40.5222","55.353452, -131.677923",http://aworldbridge.com/global-school-network/usa/alaska/ketchikan-gateway-borough/america-bridge-projects/,USA1.png,TrilliumLearning
"New York, USA","Middletown, New York",A World Bridge Project Site: Fei Tian Academy of the Arts,"N 41 27 7.3506, &dagger; &dagger; &dagger; &dagger;W 74 26 18.4812","41.452042, -74.438467",http://aworldbridge.com/global-school-network/usa/new-york-2/fei-tian-academy-of-the.html,USA4.jpeg,TrilliumLearning
USA,Cahokia Mounds State Historic Site (1982),"Located in Collinsville, Illinois near the city of St. Louis, this largest pre-Columbian settlement north of Mexico is the pre-eminent example of a cultural, religious, and economic centre of the Mississippian culture (800&ntilde;1350), which extended throughout the Mississippi Valley and the south-eastern United States.&dagger;","N38 39 31, &dagger; &dagger; &dagger; &dagger; &dagger;W90 3 41","38.658611, &dagger; &dagger;-90.061389",http://whc.unesco.org/en/list/198,USA5.jpg,Cahokia Mounds State Historic Site &copy; Emily Dickinson
USA,Chaco Culture (1987),"Chaco Culture is a network of archaeological sites in northwestern New Mexico which preserves outstanding elements of a vast pre-Columbian cultural complex that dominated much of what is now the southwestern United States from the mid-9th to early 13th centuries. These sites were a focus for ceremonies, trade, and political activity and they are remarkable for their monumental public and ceremonial buildings and distinctive multi-storey &igrave;great houses.&icirc;","N36 3 49.6, &dagger; &dagger; &dagger; &dagger; &dagger; W107 58 15","36.063778, -107.970833&dagger;",http://whc.unesco.org/en/list/353/,USA6.jpg,Chaco Culture (United States of America). retouched/Q.C. CWL8200 Scanner &copy; Sacred sites
USA,Independence Hall (1979),"The Declaration of Independence was adopted and the Constitution of the United States of America framed in this fine early 18th-century building in Philadelphia. These events were conceived in a national context, but the universal principles of freedom and democracy set forth in these two documents have had a profound impact on lawmakers and political thinkers around the world.&dagger;","N39 56 55, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W75 9 0","39.948611, &dagger; &dagger; &dagger; &dagger; &dagger; -75.15",http://whc.unesco.org/en/list/78,USA7.jpg,Independence Hall &copy; OUR PLACE The World Heritage Collection
USA,La Fortaleza and San Juan National Historic Site in Puerto Rico (1983),"The main elements of the massive fortification of San Juan are La Fortaleza, the three forts of San Felipe del Morro, San Crist&Ucirc;bal and San Juan de la Cruz (El Ca&Ograve;uelo), and a large portion of the City Wall, built between the 16th and 19th centuries to protect the city and the Bay of San Juan.&dagger;","N18 27 50.7816, W66 7 9.228","18.464106, &dagger; &dagger; -66.11923",http://whc.unesco.org/en/list/266,USA8.jpg,La Fortaleza and San Juan National Historic Site in Puerto Rico &copy; Ulises Jorge
USA,Mesa Verde National Park (1978),"The Mesa Verde landscape is a remarkably well-preserved prehistoric settlement landscape of the Ancestral Puebloan culture, which lasted for almost nine hundred years from c.&dagger;450 to 1300. This plateau in southwest Colorado, which sits at an altitude of more than 2,600 meters, contains a great concentration of spectacular Pueblo Indian dwellings, including the well-known cliff dwellings. ","N37 15 42, &dagger; &dagger; &dagger; &dagger;W108 29 8","37.261667, -108.485556",http://whc.unesco.org/en/list/27/,USA9.jpg,&dagger;&copy;&dagger;Vincent Angillis
USA,Monticello and the University of Virginia in Charlottesville (1987),"Monticello was the plantation home of Thomas Jefferson (1743&ntilde;1826), author of the American Declaration of Independence and third President of the United States.The buildings are excellent and highly personalized examples of Neoclassicism, shown in their relationship to the natural setting and their blending of functionalism and symbolism.&dagger;","N38 1 58, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W78 30 14","38.032778, &dagger; &dagger; -78.503889",http://whc.unesco.org/en/list/442,USA10.jpg,Monticello and the University of Virginia in Charlottesville (United States of America) &copy; UNESCO
USA,Monumental Earthworks of Poverty Point (2014),"The Monumental Earthworks of Poverty Point is a publicly-owned and managed archaeological park in the parish of West Carroll, State of Louisiana, United States of America. The site is located on the eastern edge of an elevated landform, Macon Ridge, in the Lower Mississippi Valley.&dagger;","N32 38 13, &dagger; &dagger; &dagger; &dagger; &dagger; W91 24 23","32.636944, &dagger;-91.406389",http://whc.unesco.org/en/list/1435/,USA11.jpg,Monumental Earthworks of Poverty Point &copy; Susan Guice
USA,San Antonio Missions (2015),"The San Antonio Missions are a group of five frontier mission complexes situated along a 12.4-kilometer (7.7-mile) stretch of the San Antonio River basin in southern Texas. The complexes were built in the early eighteenth century and as a group they illustrate the Spanish Crown&iacute;s efforts to colonize, evangelize and defend the northern frontier of New Spain.","N29 19 41 , &dagger; &dagger; &dagger; &dagger; W98 27 36","29.328056, &dagger; &dagger; &dagger; &dagger; &dagger; -98.46",http://whc.unesco.org/en/list/1466,USA12.jpg,Mission Concepci&Ucirc;n church exterior &copy; National Park Service
USA,Statue of Liberty,"Made in Paris by the French sculptor Bartholdi, in collaboration with Gustave Eiffel (who was responsible for the steel framework), this towering monument to liberty was a gift from France on the centenary of American independence. Inaugurated in 1886, the sculpture stands at the entrance to New York Harbour and has welcomed millions of immigrants to the United States ever since.","N40 41 22, &dagger; &dagger; &dagger; &dagger; &dagger; W74 2 41","40.689444, &dagger;-74.044722",http://whc.unesco.org/en/list/307,USA13.jpg,Statue of Liberty (United States of America) &copy; La&Ocirc;a Caball&Egrave;
USA,Taos Pueblo (1992),"This Pueblo Indian settlement in northern New Mexico, consisting of ceremonial buildings and facilities, and multi-storey adobe dwellings built in terraced tiers, exemplifies the living culture of a group of present-day Pueblo Indian people at Taos Pueblo. Taos Pueblo and the people of the Pueblo itself claim an aboriginal presence in the Taos Valley since time immemorial.","N36 26 20.004, W105 32 30.012","36.43889, &dagger; &dagger; -105.54167",http://whc.unesco.org/en/list/492/,USA14.jpg,Pueblo de Taos &copy; Edmondo Gnerre
USA,Carlsbad Caverns National Park (1995),"The more than 100 limestone caves within Carlsbad Caverns National Park are outstanding and notable world-wide because of their size, mode of origin, and the abundance, diversity and beauty of the speleothems (decorative rock formations) within.","N32 10 0 , &dagger; &dagger; &dagger; &dagger;W104 22 60","32.166667, -104.383333&dagger;",http://whc.unesco.org/en/list/721,USA15.jpg,Carlsbad Caverns National Park (United States of America) &copy; Evergreen
USA,Everglades National Park (1979),"Everglades National Park is the largest designated sub-tropical wilderness reserve on the North American continent. It contains the largest mangrove ecosystem in the Western Hemisphere, the largest continuous stand of sawgrass prairie and the most significant breeding ground for wading birds in North America.","N25 33 16, &dagger; &dagger; &dagger; &dagger; &dagger;W80 59 47","25.554444, &dagger;-80.996389&dagger;",http://whc.unesco.org/en/list/76/,USA16.jpg,Everglades National Park (United States of America) &copy; UNESCO
USA,Grand Canyon National Park (1979),The Grand Canyon twists and turns 445 km (276.5 miles) and was formed during 6 million years of geologic activity and erosion by the Colorado River on the upraised earth&iacute;s crust. Horizontal strata exposed in the canyon retrace geological history over 2 billion years and represent the four major geologic eras.,"N36 6 3, &dagger; &dagger; &dagger; &dagger; &dagger; W112 5 26","36.100833, -112.090556",http://whc.unesco.org/en/list/75,USA17.jpg,Grand Canyon National Park (United States of America) &copy; Evergreen
USA,Great Smoky Mountains National Park (1983),"The Great Smoky Mountains National Park is a major North American refuge of temperate zone flora and fauna that survived the Pleistocene glaciations. The park is of exceptional natural beauty with undisturbed, virgin forest including the largest block of virgin red spruce remaining on earth.","N35 35 35, &dagger; &dagger; &dagger; &dagger; &dagger;W83 26 8","35.593056, &dagger;-83.435556&dagger;",http://whc.unesco.org/en/list/259,USA18.jpg,Great Smoky Mountains National Park &copy; LostBob
USA,Hawaii Volcanoes National Park (1987),"Hawaii Volcanoes National Park contains Mauna Loa and Kilauea, two of the world&iacute;s most active and accessible volcanoes where ongoing geological processes are easily observed. Through the process of shield-building volcanism, the park's landscape is one of relatively constant, dynamic change.
","N19 24 3 , &dagger; &dagger; &dagger; &dagger;W155 7 25","19.400833, -155.123611",http://whc.unesco.org/en/list/409,USA19.jpg,Hawaii Volcanoes National Park &copy; OUR PLACE The World Heritage Collection
USA,Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek (1979),"The Kluane/Wrangell-St. Elias/Glacier Bay/Tatshenshini-Alsek national parks and protected areas along the boundary of Canada and the United States of America are the largest non-polar icefield in the world and contain examples of some of the world&iacute;s longest and most spectacular glaciers. The parks demonstrate some of the best examples of glaciation and modification of landscape by glacial action in a region still tectonically active, spectacularly beautiful, and where natural processes prevail.","N61 11 51.3 , &dagger; &dagger;W140 59 31.1","61.197583, -140.991972",http://whc.unesco.org/en/list/72,USA20.jpg,"Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek (Canada, United States of America) &copy; Evergreen"
USA,Mammoth Cave National Park (1981),"Mammoth Cave is the most extensive cave system in the world, with over 285 miles (456 km) of surveyed cave passageways within the property. The park illustrates a number of stages of the Earth's evolutionary history and contains ongoing geological processes and unique wildlife. It is renowned for its size and vast network of extremely large horizontal passages and vertical shafts.","N37 11 14, &dagger; &dagger; &dagger; &dagger; &dagger;W86 6 11","37.187222, &dagger;-86.103056",http://whc.unesco.org/en/list/150,USA21.jpg,Mammoth Cave National Park
USA,Olympic National Park (1981),"Olympic National Park features spectacular coastline, scenic lakes, majestic mountains and glaciers, and magnificent temperate rainforest. It is the lowest latitude in the world in which glaciers form at relatively low elevation. The biological evolution, ecological variety and sheer splendor of Olympic National Park make it a special place.","N47 44 54, &dagger; &dagger; &dagger; &dagger;W123 26 56","47.748333, -123.448889&dagger;",http://whc.unesco.org/en/list/151,USA22.jpg,Olympic National Park &copy; Brian Michelsen
USA,Redwood National and State Parks (1980),Redwood National Park comprises a region of coastal mountains bordering the Pacific Ocean north of San Francisco. The park contains some of the tallest and oldest known trees in the world.&dagger;,"N41 22 26, &dagger; &dagger; &dagger; &dagger; W123 59 53","41.373889, &dagger;-123.998056",http://whc.unesco.org/en/list/134,USA23.jpg,&dagger;&copy; OUR PLACE The World Heritage Collection
USA,Waterton Glacier International Peace Park (1995),"Waterton-Glacier International Peace Park has a distinctive climate, physiographic setting, mountain-prairie interface and tri-ocean hydrographical divide.&dagger; It is an area of significant scenic values with abundant and diverse flora and fauna.
","N48 59 45.8, &dagger; &dagger; &dagger; W113 54 15","48.996056, -113.904167&dagger;",http://whc.unesco.org/en/list/354,USA24.jpg,&copy; Vincent Ko Hon Chiu
USA,Yellowstone National Park (1978),"As the site of one of the few remaining intact large ecosystems in the northern temperate zone of earth, Yellowstone&iacute;s ecological communities provide unparalleled opportunities for conservation, study, and enjoyment of large-scale wildland ecosystem processes.","N44 27 38.016 , &dagger;W110 49 40.008","44.46056, &dagger;-110.82778",http://whc.unesco.org/en/list/28,USA25.jpg,Yellowstone National Park (United States of America) &copy; OUR PLACE The World Heritage Collection
USA,Yosemite National Park (1984),"Yosemite National Park vividly illustrates the effects of glacial erosion of granitic bedrock, creating geologic features that are unique in the world. These geologic features provide a scenic backdrop for mountain meadows and giant sequoia groves, resulting in a diverse landscape of exceptional natural and scenic beauty.","N37 44 46, &dagger; &dagger; &dagger; &dagger; W119 35 48","37.746111, -119.596667&dagger;",http://whc.unesco.org/en/list/308,USA26.jpg,Yosemite National Park (United States of America) &copy; Evergreen
USA,Papah?naumoku?kea (2010),"Papah?naumoku?kea is the name given to a vast and isolated linear cluster of small, low lying islands and atolls, with their surrounding ocean, extending some 1,931 kilometres to the north west of the main Hawaiian Archipelago, located in the north-central Pacific Ocean. The geomorphological history and isolation of the archipelago have led to the development of an extraordinary range of habitats and features, including an extremely high degree of endemism.","N25 20 56.652 , W170 8 44.952","25.34907, &dagger; &dagger; -170.14582",http://whc.unesco.org/en/list/1326,USA27.jpg,Nesting Great Frigatebirds. Papah?naumoku?kea (United States of America) &copy; Sue Watt
