Date,# OF CONSUMERS
2012-1,1018
2012-2,1037
2012-3,1036
2012-4,1048
2012-5,1048
2012-6,1049
2012-7,1047
2012-8,1044
2012-9,1044
2012-10,1032
2012-11,1036
2012-12,1038
2013-1,1038
2013-2,1034
2013-3,1036
2013-4,1039
2013-5,1045
2013-6,1043
2013-7,1043
2013-8,1041
2013-9,1046
2013-10,1044
2013-11,1048
2013-12,1047
2014-1,1046
2014-2,1049
2014-3,1053
2014-4,1049
2014-5,1047
2014-6,1048
2014-7,1050
2014-8,1050
2014-9,1052
2014-10,1051
2014-11,1050
2014-12,1050
2015-1,"1,054"
2015-2,"1,051"
2015-3,"1,052"
2015-4,"1,052"
2015-5,"1,053"
2015-6,"1,054"
2015-7,"1,053"
2015-8,"1,056"
2015-9,"1,053"
2015-10,"1,054"
2015-11,"1,052"
2015-12,"1,051"
2016-1,"1,050"
2016-2,"1,053"
2016-3,"1,056"
2016-4,"1,044"
2016-5,"1,048"
2016-6,"1,045"
2016-7,"1,043"
2016-8,"1,045"
2016-9,"1,044"
2016-10,"1,040"
2016-11,"1,036"
2016-12,"1,035"
2017-1,"1,033"
2017-2,"1,029"
