Date,KWH
2012-1,11998000
2012-2,13068000
2012-3,12905000
2012-4,9722000
2012-5,10742000
2012-6,9924000
2012-7,10286000
2012-8,12737000
2012-9,10503000
2012-10,12110000
2012-11,9063000
2012-12,9130000
2013-1,9460000
2013-2,10725000
2013-3,10009000
2013-4,12335000
2013-5,9577000
2013-6,8770000
2013-7,9370000
2013-8,10827000
2013-9,10507000
2013-10,10467000
2013-11,8728000
2013-12,9630000
2014-1,9961000
2014-2,11489000
2014-3,13665000
2014-4,12639000
2014-5,11338000
2014-6,9298000
2014-7,11030000
2014-8,11407000
2014-9,13636000
2014-10,11676000
2014-11,8931000
2014-12,9908000
2015-1,9603000
2015-2,11649000
2015-3,12134000
2015-4,11879000
2015-5,8769000
2015-6,11554000
2015-7,9356000
2015-8,12512000
2015-9,12831000
2015-10,11161000
2015-11,10437000
2015-12,7961000
2016-1,7807000
2016-2,11734000
2016-3,11915000
2016-4,10210000
2016-5,9989000
2016-6,10187000
2016-7,8987000
2016-8,12084000
2016-9,11014000
2016-10,12267000
2016-11,9913000
2016-12,9304000
