Date,KWH
2012-1,1306795
2012-2,1155386
2012-3,1009849
2012-4,1151982
2012-5,1084183
2012-6,609057
2012-7,479027
2012-8,848699
2012-9,1239191
2012-10,1969159
2012-11,2506832
2012-12,3051173
2013-1,3175894
2013-2,2432667
2013-3,2938858
2013-4,2245014
2013-5,1392581
2013-6,1383406
2013-7,863659
2013-8,1682417
2013-9,2463346
2013-10,3290954
2013-11,2686454
2013-12,2297960
2014-1,2895036
2014-2,2756185
2014-3,1784998
2014-4,2328655
2014-5,1019652
2014-6,1321021
2014-7,932461
2014-8,1445879
2014-9,1953738
2014-10,1926063
2014-11,2689977
2014-12,2448865
2015-1,2747204
2015-2,2773706
2015-3,2473029
2015-4,3634719
2015-5,2674274
2015-6,973242
2015-7,1377481
2015-8,1170075
2015-9,2452107
2015-10,2391471
2015-11,3448785
2015-12,3140297
2016-1,4003111
2016-2,4377343
2016-3,2426443
2016-4,2793968
2016-5,1995618
2016-6,1679940
2016-7,1632338
2016-8,1363084
2016-9,1463032
2016-10,2373736
2016-11,3207272
2016-12,2143130
