Date, REVENUE ($1000) 
2012-1,406
2012-2,418
2012-3,391
2012-4,334
2012-5,341
2012-6,304
2012-7,289
2012-8,325
2012-9,269
2012-10,308
2012-11,302
2012-12,317
2013-1,349
2013-2,332
2013-3,308
2013-4,348
2013-5,293
2013-6,278
2013-7,283
2013-8,276
2013-9,290
2013-10,309
2013-11,317
2013-12,339
2014-1,350
2014-2,323
2014-3,304
2014-4,336
2014-5,282
2014-6,273
2014-7,279
2014-8,271
2014-9,307
2014-10,296
2014-11,321
2014-12,359
2015-1,357
2015-2,345
2015-3,315
2015-4,340
2015-5,297
2015-6,312
2015-7,260
2015-8,277
2015-9,308
2015-10,294
2015-11,362
2015-12,317
2016-1,322
2016-2,374
2016-3,303
2016-4,309
2016-5,305
2016-6,289
2016-7,257
2016-8,302
2016-9,266
2016-10,299
2016-11,337
2016-12,326
2017-1,333
2017-2,349
