Date, REVENUE ($1000) 
2012-1,716
2012-2,698
2012-3,636
2012-4,536
2012-5,535
2012-6,477
2012-7,432
2012-8,488
2012-9,421
2012-10,496
2012-11,538
2012-12,563
2013-1,628
2013-2,589
2013-3,526
2013-4,575
2013-5,486
2013-6,450
2013-7,423
2013-8,421
2013-9,438
2013-10,501
2013-11,536
2013-12,575
2014-1,597
2014-2,548
2014-3,504
2014-4,537
2014-5,429
2014-6,401
2014-7,397
2014-8,396
2014-9,443
2014-10,461
2014-11,525
2014-12,607
2015-1,652
2015-2,551
2015-3,501
2015-4,544
2015-5,457
2015-6,449
2015-7,368
2015-8,387
2015-9,464
2015-10,455
2015-11,607
2015-12,553
2016-1,549
2016-2,621
2016-3,499
2016-4,495
2016-5,467
2016-6,451
2016-7,376
2016-8,451
2016-9,404
2016-10,491
2016-11,589
2016-12,615
2017-1,635
2017-2,640
