Date, SALES (MWh)
2012-1,2129
2012-2,2196
2012-3,2042
2012-4,1810
2012-5,1853
2012-6,1633
2012-7,1543
2012-8,1759
2012-9,1627
2012-10,1891
2012-11,1850
2012-12,1949
2013-1,2026
2013-2,1917
2013-3,1763
2013-4,1995
2013-5,1649
2013-6,1552
2013-7,1614
2013-8,1567
2013-9,1656
2013-10,1834
2013-11,1867
2013-12,2010
2014-1,2189
2014-2,2001
2014-3,1871
2014-4,2066
2014-5,1699
2014-6,1639
2014-7,1677
2014-8,1628
2014-9,1867
2014-10,1776
2014-11,1939
2014-12,2194
2015-1,2181
2015-2,2103
2015-3,1902
2015-4,2055
2015-5,1773
2015-6,1868
2015-7,1534
2015-8,1653
2015-9,1858
2015-10,1759
2015-11,2217
2015-12,1916
2016-1,1924
2016-2,2272
2016-3,1801
2016-4,1796
2016-5,1771
2016-6,1671
2016-7,1521
2016-8,1822
2016-9,1586
2016-10,1768
2016-11,2010
2016-12,1941
2017-1,2021
2017-2,2126
