Date,SALES (MWh),
2012-1,6963,
2012-2,8616,
2012-3,9298,
2012-4,6988,
2012-5,6963,
2012-6,5964,
2012-7,6493,
2012-8,8399,
2012-9,7314,
2012-10,8302,
2012-11,6072,
2012-12,5668,
2013-1,6578,
2013-2,8246,
2013-3,8279,
2013-4,8244,
2013-5,6211,
2013-6,5805,
2013-7,7166,
2013-8,8720,
2013-9,8557,
2013-10,8408,
2013-11,5739,
2013-12,5384,
2014-1,6190,
2014-2,8058,
2014-3,9575,
2014-4,8606,
2014-5,6859,
2014-6,6137,
2014-7,7158,
2014-8,8241,
2014-9,9971,
2014-10,8229,
2014-11,5579,
2014-12,5532,
2015-1,5933,
2015-2,8011,
2015-3,8738,
2015-4,9187,
2015-5,6203,
2015-6,6559,
2015-7,6313,
2015-8,8869,
2015-9,9646,
2015-10,8227,
2015-11,6906,
2015-12,4967,
2016-1,5694,
2016-2,9006,
2016-3,8251,
2016-4,7453,
2016-5,6935,
2016-6,6763,
2016-7,6110,
2016-8,7983,
2016-9,7535,
2016-10,9022,
2016-11,6660,
2016-12,4920,
2017-1,6112,
2017-2,10635,
,,
,,
,,
,,
,,
,,
,,
,,
