Date,SALES (MWh)
2012-1,3649
2012-2,3554
2012-3,3218
2012-4,2819
2012-5,2811
2012-6,2481
2012-7,2231
2012-8,2546
2012-9,2457
2012-10,2936
2012-11,3205
2012-12,3366
2013-1,3544
2013-2,3310
2013-3,2935
2013-4,3194
2013-5,2663
2013-6,2451
2013-7,2327
2013-8,2316
2013-9,2418
2013-10,2856
2013-11,3067
2013-12,3306
2014-1,3603
2014-2,3289
2014-3,3008
2014-4,3177
2014-5,2492
2014-6,2311
2014-7,2290
2014-8,2284
2014-9,2583
2014-10,2670
2014-11,3072
2014-12,3587
2015-1,"3,871"
2015-2,"3,231"
2015-3,"2,918"
2015-4,"3,173"
2015-5,"2,625"
2015-6,"2,573"
2015-7,"2,086"
2015-8,"2,208"
2015-9,"2,686"
2015-10,"2,633"
2015-11,"3,588"
2015-12,"3,249"
2016-1,"3,187"
2016-2,"3,636"
2016-3,"2,876"
2016-4,"2,792"
2016-5,"2,622"
2016-6,"2,518"
2016-7,"2,143"
2016-8,"2,615"
2016-9,"2,325"
2016-10,"2,814"
2016-11,"3,419"
2016-12,"3,579"
2017-1,"3,711"
2017-2,"3,742"
