Date,MW
2006-1,24
2006-2,23.9
2006-3,24.3
2006-4,21.3
2006-5,18.9
2006-6,17.9
2006-7,21.8
2006-8,19.1
2006-9,21.6
2006-10,21.1
2006-11,20.8
2006-12,19.8
2007-1,22.6
2007-2,23.7
2007-3,25
2007-4,21.8
2007-5,20.5
2007-6,19.2
2007-7,19.9
2007-8,22.9
2007-9,21.8
2007-10,20.9
2007-11,21.6
2007-12,21.3
2008-1,22.8
2008-2,24.4
2008-3,22.3
2008-4,21.6
2008-5,19.8
2008-6,19.6
2008-7,20.6
2008-8,22.3
2008-9,21.9
2008-10,23.6
2008-11,20.5
2008-12,20.5
2009-1,23.6
2009-2,23.4
2009-3,23.9
2009-4,21.1
2009-5,18.9
2009-6,19.7
2009-7,20.8
2009-8,22.5
2009-9,21.7
2009-10,22.7
2009-11,21
2009-12,21.5
2010-1,24.6
2010-2,24.5
2010-3,26.1
2010-4,23.1
2010-5,20.6
2010-6,20.1
2010-7,21.3
2010-8,22.5
2010-9,24.3
2010-10,23.4
2010-11,20.8
2010-12,21.1
2011-1,24.3
2011-2,25.9
2011-3,25.5
2011-4,22.5
2011-5,19.4
2011-6,19.9
2011-7,20.1
2011-8,21.7
2011-9,24.9
2011-10,23.9
2011-11,21.1
2011-12,21.2
2012-1,23.5
2012-2,27.1
2012-3,26.4
2012-4,22.2
2012-5,19.7
2012-6,22.2
2012-7,19.2
2012-8,23.7
2012-9,24.3
2012-10,25.11
2012-11,21.4
2012-12,20.3
