Location,Site Name,Site Description,Latitude and Longitude(Deg Min Sec),Latitude and Longitude(Decimal),Link to site location,Picture Location,Copyright,Layer Name,Color




A World Bridge,A World Bridge Headquarters,"Real-time, Real-world Project Based Learning","N40 59 39.3,     W74 16 44.6838","40.994250, -74.279079",www.aworldbridge.com,AWB.png,TrilliumLearning,A_World_Bridge,"rgb(187,0,255) rgb(0,255,0) rgb(187,0,255)"
"Alaska, USA","Kodiak, Alaska",A World Bridge Project Site: Kodiak Island Borough School District,"N 57 47 36.0636,    W 152 23 40.4736","57.793351, -152.394576",http://aworldbridge.com/global-school-network/usa/alaska/kodiak-island-borough-schoo/kodiak-high-school/,Kodiak_High_School.jpg,Free to Use,A_World_Bridge
"Alaska, USA","Akiachak, Alaska",A World Bridge Project Site: Yupiit School District,"N 60 54 31.0422,     W 161 25 55.473","60.908623, -161.432076",http://aworldbridge.com/,AWB.png,TrilliumLearning,A_World_Bridge
"Alaska, USA","Akiak, Alaska",A World Bridge Project Site: Yupiit School District,"N 60 54 32.5434,      W 161 13 22.7712","60.90904, -161.222992",http://aworldbridge.com/,AWB.png,TrilliumLearning,A_World_Bridge
"Alaska, USA","Tuluksak, Alaska",A World Bridge Project Site: Yupiit School District,"N 61 5 53.9412,       W 160 57 34.1712","61.098317, -160.959492",http://aworldbridge.com/,AWB.png,TrilliumLearning,A_World_Bridge
"Alaska, USA","Copper River, Alaska",A World Bridge Project Site: Copper River School District,"N 62 6 46.731,         W  145 31 35.8284","62.112981, -145.526619",http://aworldbridge.com/global-school-network/usa/alaska/copper-river-school-distric/,MINISAT.jpeg,TrilliumLearning,A_World_Bridge
"Alaska, USA","Ketchikan, Alaska",A World Bridge Project Site: Ketchikan Gateway Borough School District,"N 55 21 12.4266,     W 131 40 40.5222","55.353452, -131.677923",http://aworldbridge.com/global-school-network/usa/alaska/ketchikan-gateway-borough/america-bridge-projects/,AWB.png,TrilliumLearning,A_World_Bridge
"New York, USA","Middletown, New York",A World Bridge Project Site: Fei Tian Academy of the Arts,"N 41 27 7.3506,        W 74 26 18.4812","41.452042, -74.438467",http://aworldbridge.com/global-school-network/usa/new-york-2/fei-tian-academy-of-the.html,FEITIAN.jpeg,TrilliumLearning,A_World_Bridge



"Alaska, USA",KEA Wind Farm,"This wind farm was estimated to be $24,000,000 and is run by Kodiak Electrical Association (KEA). It provides 18% of Kodiak's 100% renewable energy grid with its counterpart being the hydro power supplied by Terror Lake.  ",N/A,"57.785,-152.45",http://www.kodiakelectric.com/,KEA_Turbine.jpg,@KEA (Taken by Matson),KEA_Turbine,"rgb(255,192,203) rgb(255,0,0) rgb(255,192,203)"
