Country,City,Category,Sub Category,Name,Button Reference












United States of America,"Middletown, NY",Energy,Energy Testing,Fei Tian Energy Tests (TBD),Fei_Tian_Energy_Tests
United States of America,"Kodiak, AK",Energy,Wind Energy,KHS Wind Turbine,KHS_Turbine
United States of America,"Kodiak, AK",Energy,Wind Energy,KEA Wind Turbine,KEA_Wind_Turbine
United States of America,"Kodiak, AK",Energy,Energy Distribution,Kodiak Grid Map,KEA_Grid_Map
United States of America,"Kodiak, AK",Energy,Energy Distribution,Kodiak Overhead Cables and Poles,Kodiak_Overhead_Cables_and_Poles
United States of America,"Kodiak, AK",Energy,Energy Distribution,Kodiak Underground Cables,Kodiak_Underground_Cables
United States of America,"Kodiak, AK",Energy,Energy Distribution,Kodiak Terror Lake Powerhouse Transmission Lines,Kodiak_Terror_Lake_Powerhouse_Transmission_Lines
United States of America,"Kodiak, AK",Energy,Energy Distribution,Kodiak Transformers,Kodiak_Transformers
United States of America,"Kodiak, AK",Energy,Energy Distribution,Kodiak Substations,Kodiak_Substations
United States of America,"Kodiak, AK",Energy,Energy Distribution,Kodiak Fuses,Kodiak_Fuses
United States of America,"Kodiak, AK",Energy,Energy Offices,Main KEA Building,Main_KEA_Building
United States of America,"Kodiak, AK",Energy,Hydroelectric Energy,Terror Lake Dam,Kodiak_Terror_Lake








United States of America,"Kodiak, AK",Water,Canneries,Kodiak's Alaska Pacific Seafoods,Kodiak_Alaska_Pacific_Seafoods
United States of America,"Kodiak, AK",Water,Canneries,Kodiak's International Seafoods of Alaska,Kodiak_International_Seafoods_of_Alaska
United States of America,"Kodiak, AK",Water,Canneries,Kodiak's Ocean Beauty Seafoods,Kodiak_Ocean_Beauty_Seafoods
United States of America,"Kodiak, AK",Water,Drainage Systems,Kodiak Base and Airport Drainage System,Kodiak_Base_and_Airport_Drainage_System


United States of America,"Middletown, NY",Water,Water Quality Tests,FTAA Water Tests,Fei_Tian_Water_Tests
United States of America,"Middletown, NY",Water,Water Grids,FTAA Water Grid,FTAA_Water_Grid







United States of America,"Kodiak, AK",Agriculture,Soil Testing,Bear Valley Golf Course,Bear_Valley_Golf_Course









United States of America,"Kodiak, AK",Transportation,Airports,Kodiak Benny Benson State Airport,Kodiak_Benny_Benson_State_Airport
United States of America,"Kodiak, AK",Transportation,Airports,Kodiak Municipal Airport,Kodiak_Municipal_Airport
United States of America,"Kodiak, AK",Transportation,Rental Cars,Budget Rent-a-Car,Kodiak_Budget_Rent_A_Car
United States of America,"Kodiak, AK",Transportation,Harbors,St.Paul Harbor,Kodiak_St_Paul_Harbor
United States of America,"Kodiak, AK",Transportation,Harbors,St.Herman Harbor,Kodiak_St_Herman_Harbor
United States of America,"Kodiak, AK",Transportation,Piers,Kodiak's Pier One,Kodiak_Pier_One
United States of America,"Kodiak, AK",Transportation,Piers,Kodiak's Pier Two,Kodiak_Pier_Two
United States of America,"Kodiak, AK",Transportation,Roads,Base and Airport Roads,Base_and_Airport_Roads







United States of America,"Kodiak, AK",Economics,Property,Kodiak Parcel Map,Kodiak_Parcel_Map

