X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.510661743627,57.7400571543954,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,6E,XXXXX
-152.916405773196,57.8232165563212,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,7F,XXXXX
-152.91706911707,57.8224804388543,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,82,XXXXX
-152.91771663782,57.8217578689915,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,85,XXXXX
-152.918390430845,57.8210136222672,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,88,XXXXX
-152.918921141355,57.8204214360564,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,8B,XXXXX
-152.919515503261,57.8197586225706,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,8E,XXXXX
-152.920136139089,57.8190741323937,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,91,XXXXX
-152.920730374537,57.8184140494333,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,94,XXXXX
-152.921394113188,57.8176587526502,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,97,XXXXX
-152.920982320726,57.8170202191791,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,9A,XXXXX
-152.920536119487,57.8163321217379,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,9D,XXXXX
-152.920114346918,57.8156852886152,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,A0,XXXXX
-152.919702517374,57.8150494874533,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,A3,XXXXX
-152.919251564334,57.8143503957417,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,A6,XXXXX
-152.918800628604,57.8136513024097,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,A9,XXXXX
-152.918373954362,57.8129989467163,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,AC,XXXXX
-152.917908407968,57.8122750904331,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,AF,XXXXX
-152.917447597297,57.8115649587219,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,B2,XXXXX
-152.917016090702,57.8109043451301,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,B5,XXXXX
-152.916560277653,57.8101997269558,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,B8,XXXXX
-152.91617305752,57.8096024443011,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,BB,XXXXX
