X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.410014263483,57.7958979283749,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,88,XXXXX
-152.409242496007,57.7964452506774,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,92,XXXXX
-152.408371531811,57.797487195,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,95,XXXXX
-152.407305004504,57.7979318479188,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,98,XXXXX
-152.406266731183,57.7983647020255,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,9B,XXXXX
-152.405235636991,57.7986859145385,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,9E,XXXXX
-152.405256666967,57.79879030261,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,A1,XXXXX
-152.513117193303,57.7618366513837,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,A4,XXXXX
-152.516699805052,57.7641444888259,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,A7,XXXXX
-152.519735896533,57.7660999620347,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,AA,XXXXX
-152.524043652916,57.7667744624597,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,AD,XXXXX
-152.526995463302,57.7672365525326,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,B0,XXXXX
-152.533991450846,57.7683314157661,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,B3,XXXXX
-152.537133247889,57.7688229561139,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,B6,XXXXX
-152.542044690884,57.769591178619,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,B9,XXXXX
-152.545429541304,57.7701204898884,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,BC,XXXXX
-152.549233808227,57.7707152619322,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,BF,XXXXX
-152.552213307724,57.7711809938145,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,C2,XXXXX
-152.557866754167,57.7720644709466,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,C5,XXXXX
-152.565153400194,57.7731600526588,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,C8,XXXXX
-152.571915472209,57.7729184568849,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,D0,XXXXX
-152.575870482471,57.7727362892148,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,D3,XXXXX
-152.580669517547,57.772515077457,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,D6,XXXXX
-152.584522029842,57.7723172171227,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,D9,XXXXX
-152.5887769143,57.7720526539545,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,DC,XXXXX
-152.593481163497,57.7717400353936,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,DF,XXXXX
-152.598464807539,57.7716932112778,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,E2,XXXXX
-152.603675382344,57.7714520872872,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,E5,XXXXX
-152.60617782271,57.7713362072839,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,E8,XXXXX
-152.609117558278,57.7712000134277,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,EB,XXXXX
-152.615060954332,57.7709244525858,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,EE,XXXXX
-152.619962096428,57.7706970020185,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,F1,XXXXX
-152.625409158309,57.7704439906873,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,F4,XXXXX
-152.630561731298,57.7702044392258,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,F7,XXXXX
-152.634829469725,57.7700058640258,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,FA,XXXXX
-152.63804197982,57.7698562916275,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,FD,XXXXX
-152.642642245862,57.7686615775656,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,100,XXXXX
-152.648093143721,57.7674072354609,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,103,XXXXX
-152.651223900637,57.7666866504526,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,106,XXXXX
-152.654672979067,57.7667663690406,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,109,XXXXX
-152.65809022786,57.7668252094234,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,10C,XXXXX
-152.662107598404,57.7668993777879,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,10F,XXXXX
-152.664764368909,57.7665576276451,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,112,XXXXX
-152.670030238832,57.7659299277206,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,115,XXXXX
-152.673544725542,57.764709619143,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,118,XXXXX
-152.677687845017,57.7632752660442,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,11B,XXXXX
-152.681616574411,57.7619106712318,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,11E,XXXXX
